"","Population","Lower2s0025limit","Upper2s0025limit","Lower3s0001limit","Upper3s0001limit","Baseline","Row.number"
"21",0,-3.84162500779439e-05,-2.1725388194227e-05,-4.32288773311029e-05,0,-3.00708191360854e-05,0
"22",0,-3.80278753908669e-05,-2.21137628670931e-05,-4.26165353957231e-05,0,-3.00708191360854e-05,0
"23",0,-3.75854652787666e-05,-2.25561729791934e-05,-4.19189971054834e-05,0,-3.00708191360854e-05,0
"24",0,-3.72094917935328e-05,-2.29321464928489e-05,-4.13262079561605e-05,-1.8815430308905e-05,-3.00708191360854e-05,0
"25",0,-3.68848349125983e-05,-2.32568033595726e-05,-4.08143287700113e-05,-1.93273095021596e-05,-3.00708191360854e-05,0
"26",0,-3.65351621098853e-05,-2.36064761622856e-05,-4.02630072642296e-05,-1.98786310221521e-05,-3.00708191360854e-05,0
"27",0,-3.62343283768496e-05,-2.39073098811105e-05,-3.97886891647659e-05,-2.03529490931942e-05,-3.00708191360854e-05,0
"28",0,-3.59233603290932e-05,-2.42182779430777e-05,-3.92983926502666e-05,-2.08432456219043e-05,-3.00708191360854e-05,0
"29",0,-3.56139475456985e-05,-2.45276907264724e-05,-3.88105482755918e-05,-2.13310899965791e-05,-3.00708191360854e-05,0
"30",0,-3.53489328972501e-05,-2.47927053891317e-05,-3.83927058891231e-05,-2.1748932354626e-05,-3.00708191360854e-05,0
"31",0,-3.50881224591149e-05,-2.50535157846343e-05,-3.79814913316068e-05,-2.21601469263533e-05,-3.00708191360854e-05,0
"32",0,-3.48363960682718e-05,-2.53052421896882e-05,-3.75845999087687e-05,-2.25570383349805e-05,-3.00708191360854e-05,0
"33",0,-3.45967645785095e-05,-2.55448736794506e-05,-3.72067781597707e-05,-2.29348601124002e-05,-3.00708191360854e-05,0
"34",0,-3.4370836218045e-05,-2.57708020683367e-05,-3.68505618411064e-05,-2.32910764310645e-05,-3.00708191360854e-05,0
"35",0,-3.41592287043113e-05,-2.59824095678596e-05,-3.65169249363362e-05,-2.3624713307413e-05,-3.00708191360854e-05,0
"36",0,-3.39478743285326e-05,-2.61937639436383e-05,-3.61836873281618e-05,-2.39579509297982e-05,-3.00708191360854e-05,0
"37",0,-3.37542204107422e-05,-2.63874178898504e-05,-3.58783572949051e-05,-2.42632809772658e-05,-3.00708191360854e-05,0
"38",0,-3.35663354036342e-05,-2.65753028969584e-05,-3.55821231750042e-05,-2.45595151113776e-05,-3.00708191360854e-05,0
"39",0,-3.33869572131107e-05,-2.67546810590602e-05,-3.52993014161029e-05,-2.4842336856068e-05,-3.00708191360854e-05,0
"40",0,-3.32176119712813e-05,-2.69240263008896e-05,-3.50322987401341e-05,-2.51093395178259e-05,-3.00708191360854e-05,0
"41",0,-3.30589627850486e-05,-2.70826754729114e-05,-3.47821597728171e-05,-2.5359478485143e-05,-3.00708191360854e-05,0
"42",0,-3.2905621068835e-05,-2.72360172033359e-05,-3.45403894641549e-05,-2.56012487795942e-05,-3.00708191360854e-05,0
"43",0,-3.27596313809408e-05,-2.73820069054409e-05,-3.43102104665149e-05,-2.58314278056559e-05,-3.00708191360854e-05,0
"44",0,-3.26220920356945e-05,-2.75195462364763e-05,-3.40933551257194e-05,-2.60482831606623e-05,-3.00708191360854e-05,0
"45",0,-3.24934342614824e-05,-2.76482039964776e-05,-3.38905031327386e-05,-2.62511351536432e-05,-3.00708191360854e-05,0
"46",0,-3.23707293148345e-05,-2.77709089573364e-05,-3.36970369545497e-05,-2.6444601331832e-05,-3.00708191360854e-05,0
"47",0,-3.22549183238152e-05,-2.7886719919934e-05,-3.35144400906984e-05,-2.66271981814725e-05,-3.00708191360854e-05,0
"48",0,-3.2144258199196e-05,-2.79973800729749e-05,-3.33399648155819e-05,-2.68016734707999e-05,-3.00708191360854e-05,0
"49",0,-3.20396800219669e-05,-2.81019582359932e-05,-3.31750788546969e-05,-2.69665593890522e-05,-3.00708191360854e-05,0
"50",0,-3.19400327271069e-05,-2.82016055308532e-05,-3.30179664729258e-05,-2.71236717850343e-05,-3.00708191360854e-05,0
"51",0,-3.18447034857172e-05,-2.82969347864537e-05,-3.28676639753667e-05,-2.72739742968042e-05,-3.00708191360854e-05,0
"52",0,-3.17545616184134e-05,-2.83870766395466e-05,-3.27255389436232e-05,-2.74160993285477e-05,-3.00708191360854e-05,0
"53",0,-3.16690251196405e-05,-2.84726131809521e-05,-3.25906755023198e-05,-2.75509628124837e-05,-3.00708191360854e-05,0
"54",0,-3.15877524030839e-05,-2.85538858548762e-05,-3.24625342784657e-05,-2.76791040079161e-05,-3.00708191360854e-05,0
"55",0,-3.15105428825291e-05,-2.86310953896418e-05,-3.23407995352909e-05,-2.780083873688e-05,-3.00708191360854e-05,0
"56",0,-3.14372709055988e-05,-2.87043673665721e-05,-3.22252737987583e-05,-2.79163644734126e-05,-3.00708191360854e-05,0
"57",0,-3.13678446417498e-05,-2.87737936162102e-05,-3.21158113933961e-05,-2.80258268645639e-05,-3.00708191360854e-05,0
"58",0,-3.13017316813102e-05,-2.8839906562439e-05,-3.20115725997994e-05,-2.81300656581607e-05,-3.00708191360854e-05,0
"59",0,-3.12390311449917e-05,-2.89026071556009e-05,-3.19127138794784e-05,-2.82289243926925e-05,-3.00708191360854e-05,0
"60",0,-3.11797699339422e-05,-2.89618683524395e-05,-3.18192792860827e-05,-2.83223589860881e-05,-3.00708191360854e-05,0
"61",0,-3.11233587524384e-05,-2.90182795197325e-05,-3.173033553594e-05,-2.84113027504418e-05,-3.00708191360854e-05,0
"62",0,-3.1069955795715e-05,-2.9071682462245e-05,-3.16461358380593e-05,-2.84955024341116e-05,-3.00708191360854e-05,0
"63",0,-3.10192049113311e-05,-2.9122433332418e-05,-3.15661176983895e-05,-2.85755205311489e-05,-3.00708191360854e-05,0
"64",0,-3.09710785302286e-05,-2.91705597419423e-05,-3.14902392801741e-05,-2.86513989777859e-05,-3.00708191360854e-05,0
"65",0,-3.09253940145027e-05,-2.92162442860899e-05,-3.14182094030002e-05,-2.87234288549598e-05,-3.00708191360854e-05,0
"66",0,-3.088203675361e-05,-2.92596015469826e-05,-3.13498489532549e-05,-2.87917893331269e-05,-3.00708191360854e-05,0
"67",0,-3.08408207985167e-05,-2.93008174736542e-05,-3.12848634678176e-05,-2.88567748043533e-05,-3.00708191360854e-05,0
